常看 多源综合v26.1.31,#genre#
CCTV10科教,http://192.168.2.88:8888/udp/239.253.244.236:8000
CCTV10科教,http://192.168.3.55:3566/624878405
CCTV10科教,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000321/index.m3u8
CCTV11戏曲,http://192.168.2.88:8888/udp/239.253.244.12:8000
CCTV11戏曲,http://192.168.3.55:3566/667987558
CCTV11戏曲,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000344/index.m3u8
CCTV12社会与法,http://192.168.2.88:8888/udp/239.253.244.237:8000
CCTV12社会与法,http://192.168.3.55:3566/673168185
CCTV12社会与法,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000322/index.m3u8
CCTV13新闻,http://192.168.2.88:8888/udp/239.253.244.14:8000
CCTV13新闻,http://192.168.3.55:3566/608807423
CCTV13新闻,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000345/index.m3u8
CCTV14少儿,http://192.168.2.88:8888/udp/239.253.244.238:8000
CCTV14少儿,http://192.168.3.55:3566/624878440
CCTV14少儿,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000323/index.m3u8
CCTV15音乐,http://192.168.2.88:8888/udp/239.253.244.16:8000
CCTV15音乐,http://192.168.3.55:3566/673168223
CCTV15音乐,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000346/index.m3u8
CCTV17农业农村,http://192.168.2.88:8888/udp/239.253.244.168:8000
CCTV17农业农村,http://192.168.3.55:3566/673168256
CCTV17农业农村,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000303/index.m3u8
中国天气,http://192.168.3.55:3566/959986621
山东,#genre#
山东卫视,http://192.168.2.88:8888/udp/239.253.244.78:8000
山东卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000051/index.m3u8
山东卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000301/index.m3u8
山东卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001099/index.m3u8
山东齐鲁,http://192.168.2.88:8888/udp/239.253.244.18:8000
山东齐鲁,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000052/index.m3u8
山东齐鲁,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000313/index.m3u8
山东文旅,http://192.168.2.88:8888/udp/239.253.244.19:8000
山东文旅,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000056/index.m3u8
