常看 联通v25.10.03.622,#genre#
湖南卫视4K超高清,http://192.168.2.88:8888/udp/239.253.244.28:8000
浙江卫视4K超高清,http://192.168.2.88:8888/udp/239.253.244.27:8000
江苏卫视4K超高清,http://192.168.2.88:8888/udp/239.253.244.133:8000
四川卫视4K超高清,http://192.168.2.88:8888/udp/239.253.244.123:8000
爱上4K测试体验,http://192.168.2.88:8888/udp/239.253.244.102:8000
影视,#genre#
CHC家庭影院高清,http://192.168.2.88:8888/udp/239.253.244.152:8000
CHC动作电影高清,http://192.168.2.88:8888/udp/239.253.244.153:8000
CHC影迷电影,http://192.168.2.88:8888/udp/239.253.244.154:8000
谍战剧场,http://192.168.2.88:8888/udp/239.253.244.135:8000
都市剧场,http://192.168.2.88:8888/udp/239.253.244.178:8000
都市剧场高清,http://192.168.2.88:8888/udp/239.253.244.98:8000
城市剧场,http://192.168.2.88:8888/udp/239.253.244.201:8000
音乐现场,http://192.168.2.88:8888/udp/239.253.244.202:8000
古装剧场,http://192.168.2.88:8888/udp/239.253.244.205:8000
红色影院,http://192.168.2.88:8888/udp/239.253.244.209:8000
精选,http://192.168.2.88:8888/udp/239.253.244.210:8000
经典剧场,http://192.168.2.88:8888/udp/239.253.244.211:8000
武侠剧场,http://192.168.2.88:8888/udp/239.253.244.212:8000
家庭影院,http://192.168.2.88:8888/udp/239.253.244.218:8000
喜剧影院,http://192.168.2.88:8888/udp/239.253.244.220:8000
动作影院,http://192.168.2.88:8888/udp/239.253.244.221:8000
光影,http://192.168.2.88:8888/udp/239.253.244.223:8000
热播剧场,http://192.168.2.88:8888/udp/239.253.244.125:8000
经典电影,http://192.168.2.88:8888/udp/239.253.244.126:8000
相声小品,http://192.168.2.88:8888/udp/239.253.244.136:8000
爱电影,http://192.168.2.88:8888/udp/239.253.244.128:8000
爱大剧,http://192.168.2.88:8888/udp/239.253.244.132:8000
外语,#genre#
CGTN 英语,http://192.168.2.88:8888/udp/239.253.244.17:8000
CGTN 英文纪录,http://192.168.2.88:8888/udp/239.253.244.188:8000
CGTN 西班牙语,http://192.168.2.88:8888/udp/239.253.244.182:8000
CGTN 法语,http://192.168.2.88:8888/udp/239.253.244.183:8000
CGTN 阿拉伯语,http://192.168.2.88:8888/udp/239.253.244.184:8000
CGTN 俄语,http://192.168.2.88:8888/udp/239.253.244.185:8000
教育,#genre#
中国教育1高清,http://192.168.2.88:8888/udp/239.253.244.110:8000
中国教育2,http://192.168.2.88:8888/udp/239.253.244.107:8000
中国教育4高清,http://192.168.2.88:8888/udp/239.253.244.108:8000
中学生,http://192.168.2.88:8888/udp/239.253.244.163:8000
金色学堂高清,http://192.168.2.88:8888/udp/239.253.244.101:8000
早教,http://192.168.2.88:8888/udp/239.253.244.217:8000
好学生,http://192.168.2.88:8888/udp/239.253.244.219:8000
体育,#genre#
爱体育高清,http://192.168.2.88:8888/udp/239.253.244.109:8000
先锋乒羽,http://192.168.2.88:8888/udp/239.253.244.155:8000
魅力足球高清,http://192.168.2.88:8888/udp/239.253.244.100:8000
武术世界高清,http://192.168.2.88:8888/udp/239.253.244.140:8000
足球,http://192.168.2.88:8888/udp/239.253.244.204:8000
爱体育,http://192.168.2.88:8888/udp/239.253.244.131:8000
少儿,#genre#
KAKU少儿,http://192.168.2.88:8888/udp/239.253.244.61:8000
优漫卡通,http://192.168.2.88:8888/udp/239.253.244.64:8000
哈哈炫动,http://192.168.2.88:8888/udp/239.253.244.63:8000
CCTV少儿高清,http://192.168.2.88:8888/udp/239.253.244.238:8000
嘉佳卡通,http://192.168.2.88:8888/udp/239.253.244.65:8000
新动漫,http://192.168.2.88:8888/udp/239.253.244.157:8000
动漫秀场高清,http://192.168.2.88:8888/udp/239.253.244.115:8000
新动漫标清,http://192.168.2.88:8888/udp/239.253.244.149:8000
动画,http://192.168.2.88:8888/udp/239.253.244.229:8000
少儿动画,http://192.168.2.88:8888/udp/239.253.244.127:8000
优优宝贝标清,http://192.168.2.88:8888/udp/239.253.244.72:8000
金鹰卡通高清,http://192.168.2.88:8888/udp/239.253.244.62:8000
金鹰卡通标清,http://192.168.2.88:8888/udp/239.253.244.134:8000
未分组,#genre#
中国交通,http://192.168.2.88:8888/udp/239.253.244.177:8000
发现之旅,http://192.168.2.88:8888/udp/239.253.244.162:8000
生态环境,http://192.168.2.88:8888/udp/239.253.244.119:8000
金鹰纪实高清,http://192.168.2.88:8888/udp/239.253.244.103:8000
老故事,http://192.168.2.88:8888/udp/239.253.244.164:8000
生活时尚高清,http://192.168.2.88:8888/udp/239.253.244.99:8000
乐游高清,http://192.168.2.88:8888/udp/239.253.244.97:8000
法治天地高清,http://192.168.2.88:8888/udp/239.253.244.96:8000
游戏风云高清,http://192.168.2.88:8888/udp/239.253.244.95:8000
东方财经高清,http://192.168.2.88:8888/udp/239.253.244.94:8000
梨园高清,http://192.168.2.88:8888/udp/239.253.244.139:8000
文物宝库高清,http://192.168.2.88:8888/udp/239.253.244.141:8000
茶高清,http://192.168.2.88:8888/udp/239.253.244.143:8000
快乐垂钓高清,http://192.168.2.88:8888/udp/239.253.244.144:8000
书画标清,http://192.168.2.88:8888/udp/239.253.244.146:8000
家庭理财标清,http://192.168.2.88:8888/udp/239.253.244.148:8000
军旅剧场,http://192.168.2.88:8888/udp/239.253.244.203:8000
军事,http://192.168.2.88:8888/udp/239.253.244.207:8000
地理,http://192.168.2.88:8888/udp/239.253.244.208:8000
